Select the country where your practice is located.,Where is your primary surgery location?,How many years have you been in practice post training?,Are you an ESCRS delegate?,Q_PHACO_DEFAULT,Q_PRESBYOPIA_DEFAULT,Q_ASTIGMATISM_DEFAULT,Q_REFRACTIVE_DEFAULT,Q_OCULARSURFACE_DEFAULT,Q_GLAUCOMA_DEFAULT,Q_RETINA_DEFAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,Corporate-owned clinic,6-10 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Public hospital,11-20 years,Yes,,Extended depth of focus IOLs,,Other,11-25,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,11-20 years,Yes,Horizontal chop,,,,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Surgeon-owned clinic,21-30 years,Yes,Stop and chop,Trifocal IOLs,Anatomical landmarks without preoperative marking,Topography-customized,51-99,After two medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,0-5 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,,Standard ablations,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Public hospital,0-5 years,"No, but I plan to become a delegate in the next 12 months",Vertical chop,,,Standard ablations,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,Surgeon-owned clinic,21-30 years,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,,Topography-customized,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, South",Private hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Femtosecond intrastromal lenticule extraction ,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Public hospital,Currently in training,Yes,Vertical chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Private hospital,21-30 years,"No, and I have no plans to become a delegate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Academic institution or non-profit,11-20 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,Extended depth of focus IOLs,,Wavefront-optimized,51-99,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Hospital-owned clinic,11-20 years,Yes,Horizontal chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,Private hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,,,5-Jan,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Corporate-owned clinic,6-10 years,Yes,Stop and chop,Trifocal IOLs,,Wavefront-customized,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Surgeon-owned clinic,,Yes,,Extended depth of focus IOLs,Digital image registration,Wavefront-customized,26-50,I do not perform surgical interventions,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,Corporate-owned clinic,21-30 years,"No, and I have no plans to become a delegate",,Enhanced Monofocal IOLs,Digital image registration,Femtosecond intrastromal lenticule extraction ,26-50,I do not perform surgical interventions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Private hospital,11-20 years,Yes,,Extended depth of focus IOLs,Anatomical landmarks without preoperative marking,Topography-customized,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Academic institution or non-profit,0-5 years,"No, but I plan to become a delegate in the next 12 months",,,,,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Other (Please specify.) ,11-20 years,"No, and I have no plans to become a delegate",Horizontal chop,Extended depth of focus IOLs,,Topography-customized,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Private hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Surgeon-owned clinic,Over 30 years,Yes,,Trifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Wavefront-optimized,5-Jan,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Public hospital,21-30 years,Yes,Horizontal chop,,,,11-25,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,Hospital-owned clinic,Currently in training,Yes,,,,,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,Public hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,,,10-Jun,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Academic institution or non-profit,6-10 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Public hospital,6-10 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Private hospital,Currently in training,"No, but I plan to become a delegate in the next 12 months",,,,,None,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,Public hospital,11-20 years,Yes,,,,,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, South",Academic institution or non-profit,21-30 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Academic institution or non-profit,6-10 years,"No, but I plan to become a delegate in the next 12 months",Horizontal chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,,Standard ablations,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Retired or do not currently perform surgery,11-20 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Public hospital,0-5 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,,,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Surgeon-owned clinic,Over 30 years,Yes,,Bifocal IOLs,,,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Private hospital,Over 30 years,"No, and I have no plans to become a delegate",,,,,51-99,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Academic institution or non-profit,Over 30 years,Yes,,Extended depth of focus IOLs,Digital image registration,Wavefront-optimized,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Public hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,,Topography-customized,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,6-10 years,Yes,,,Digital image registration,,26-50,After two medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Corporate-owned clinic,21-30 years,"No, and I have no plans to become a delegate",,,,Other,100 or more,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,0-5 years,Yes,,,,Wavefront-optimized,26-50,After two medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Retired or do not currently perform surgery,6-10 years,Yes,,,,,None,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Corporate-owned clinic,Over 30 years,Yes,,,Anatomical landmarks without preoperative marking,,5-Jan,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Corporate-owned clinic,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,,Wavefront-optimized,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Public hospital,6-10 years,Yes,Stop and chop,,,,26-50,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Private hospital,Over 30 years,"No, and I have no plans to become a delegate",Divide and conquer,Trifocal IOLs,Ink marking at the slit lamp with no additional instruments,Wavefront-optimized,11-25,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,0-5 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,,,,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Public hospital,0-5 years,"No, but I plan to become a delegate in the next 12 months",,,,,11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, South",Corporate-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,,Topography-customized,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Corporate-owned clinic,11-20 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,,Standard ablations,26-50,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Public hospital,11-20 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,Academic institution or non-profit,11-20 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Public hospital,0-5 years,Yes,Divide and conquer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Private hospital,0-5 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Public hospital,Over 30 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,,,,100 or more,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Academic institution or non-profit,6-10 years,Yes,,Extended depth of focus IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Academic institution or non-profit,11-20 years,Yes,Stop and chop,,Ink marking at the slit lamp with no additional instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Surgeon-owned clinic,11-20 years,Yes,,Trifocal IOLs,,Wavefront-optimized,26-50,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,Academic institution or non-profit,21-30 years,Yes,,,,,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Academic institution or non-profit,6-10 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Femtosecond intrastromal lenticule extraction ,26-50,I do not perform surgical interventions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, South",Surgeon-owned clinic,21-30 years,Yes,Horizontal chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Private hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,,Femtosecond intrastromal lenticule extraction ,10-Jun,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Public hospital,Over 30 years,Yes,,Enhanced Monofocal IOLs,Anatomical landmarks without preoperative marking,,11-25,After first-line medication,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,Corporate-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,51-99,After three medications,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,6-10 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,,,,11-25,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Private hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,Digital image registration,,51-99,After two medications,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Hospital-owned clinic,6-10 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,,,11-25,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Academic institution or non-profit,0-5 years,"No, but I plan to become a delegate in the next 12 months",,Trifocal IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Academic institution or non-profit,11-20 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Public hospital,11-20 years,Yes,,Enhanced Monofocal IOLs,,,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,Retired or do not currently perform surgery,Over 30 years,"No, but I plan to become a delegate in the next 12 months",,,,,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Academic institution or non-profit,21-30 years,"No, but I plan to become a delegate in the next 12 months",,,,,26-50,,240-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Public hospital,Currently in training,Yes,,Trifocal IOLs,,,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Hospital-owned clinic,Over 30 years,Yes,Divide and conquer,,,Femtosecond intrastromal lenticule extraction ,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Hospital-owned clinic,21-30 years,Yes,,,,,11-25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,Private hospital,0-5 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,,Topography-customized,11-25,,81-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Private hospital,Over 30 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,,Other,100 or more,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Private hospital,Over 30 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,Surgeon-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,Extended depth of focus IOLs,,Femtosecond intrastromal lenticule extraction ,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,Over 30 years,"No, and I have no plans to become a delegate",,Trifocal IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Surgeon-owned clinic,Over 30 years,Yes,Divide and conquer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Corporate-owned clinic,11-20 years,"No, and I have no plans to become a delegate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Academic institution or non-profit,0-5 years,"No, but I plan to become a delegate in the next 12 months",Vertical chop,,,,100 or more,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Private hospital,11-20 years,Yes,,Extended depth of focus IOLs,,Femtosecond intrastromal lenticule extraction ,51-99,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,11-20 years,Yes,,Trifocal IOLs,,Topography-customized,11-25,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Surgeon-owned clinic,21-30 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Public hospital,11-20 years,Yes,Horizontal chop,Extended depth of focus IOLs,,,5-Jan,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Private hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,Surgeon-owned clinic,Over 30 years,Yes,Horizontal chop,Enhanced Monofocal IOLs,Digital image registration,,26-50,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,Public hospital,11-20 years,"No, and I have no plans to become a delegate",Stop and chop,Extended depth of focus IOLs,,,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Corporate-owned clinic,11-20 years,Yes,,Extended depth of focus IOLs,,Wavefront-optimized,10-Jun,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Private hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Private hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,Enhanced Monofocal IOLs,,,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Private hospital,11-20 years,Yes,,,,Standard ablations,11-25,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,Private hospital,21-30 years,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,Academic institution or non-profit,21-30 years,Yes,Stop and chop,Enhanced Monofocal IOLs,,,5-Jan,After three medications,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Public hospital,0-5 years,"No, and I have no plans to become a delegate",,,,,100 or more,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Surgeon-owned clinic,21-30 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,Bifocal IOLs,Ink marking at the slit lamp with no additional instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Surgeon-owned clinic,Over 30 years,Yes,,,,Wavefront-customized,51-99,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,Public hospital,Over 30 years,Yes,Stop and chop,Enhanced Monofocal IOLs,,,26-50,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Public hospital,Currently in training,"No, but I plan to become a delegate in the next 12 months",,,,,26-50,I do not perform surgical interventions,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,Public hospital,Over 30 years,"No, and I have no plans to become a delegate",,,,,10-Jun,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Public hospital,Over 30 years,Yes,Divide and conquer,Trifocal IOLs,,Wavefront-optimized,26-50,,More than 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Public hospital,21-30 years,"No, but I plan to become a delegate in the next 12 months",,,,,51-99,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Surgeon-owned clinic,Over 30 years,Yes,,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Wavefront-optimized,11-25,,240-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Public hospital,11-20 years,"No, and I have no plans to become a delegate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Academic institution or non-profit,21-30 years,"No, but I plan to become a delegate in the next 12 months",Divide and conquer,,,Wavefront-customized,26-50,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
